Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
102,-0.0047470974,0.70811373,0.000691395,0.97747564,-0.005921322,0.9002123,-0.0071352473,0.7457064,-0.0043252525,0.8729371,-0.023586448,0.7338401,-0.027136272,0.74500453,-0.013652862,0.9105196
103,0.006558198,0.70923793,0.015895117,0.9767849,0.0027492708,0.90029097,0.03490835,0.7409901,0.009286743,0.8748694,0.018741975,0.7311136,0.019834153,0.7459307,0.01614877,0.9004858
104,-0.0009877435,0.7103051,0.014966307,0.97654116,0.014818937,0.8998798,0.029761886,0.7383791,0.0059369174,0.8779664,0.002451847,0.7334998,0.02775648,0.7497535,0.003404914,0.8999335
105,0.0,0.7115748,-0.010724176,0.9769606,-0.00977848,0.9035131,0.010596512,0.7373278,-0.0013271784,0.88149047,-0.0048930626,0.7328416,-0.0055194567,0.75814027,-0.00339336,0.8965891
106,-0.0019760658,0.7122259,-0.009484761,0.9771338,0.0033787368,0.9036467,-0.010485403,0.729048,0.0022156625,0.88284075,0.010655391,0.7293787,-0.0010907733,0.7594135,-0.0034060192,0.8934055
107,0.0009893005,0.7129755,-0.012311828,0.9773297,0.005956438,0.90408564,0.0067434986,0.7273712,-0.0010314743,0.8846793,-0.016220905,0.7273503,0.011608741,0.7601704,0.015945267,0.8929213
108,0.1020775,0.71438473,0.018005125,0.97670543,-0.0024456251,0.9052197,0.004784687,0.7274126,0.009443235,0.8848961,0.007420404,0.72583336,-0.010004539,0.7642846,0.0347541,0.8933222
109,-0.030335765,0.73259723,0.021768304,0.97636384,-0.03877644,0.9035417,0.019047534,0.7091337,-0.008186522,0.88637125,-0.0028651217,0.7227809,0.027144678,0.76361656,0.067171335,0.88828224
110,-0.016659703,0.73488766,-0.006657083,0.98016775,-0.023896152,0.8949764,-0.007476861,0.7086543,-0.007073807,0.8865653,-0.0069758324,0.72124267,-0.010994972,0.77014905,-0.017258497,0.89063644
111,-0.02108548,0.7337645,0.017425872,0.9850005,0.008046058,0.8876953,0.008474039,0.71996284,0.00667988,0.8875364,0.0111575145,0.72059834,0.0078012976,0.77205336,-0.0041325106,0.891251
112,0.012116259,0.730517,0.0039525675,0.9898213,-0.009755148,0.8875484,-0.008402834,0.7269517,-0.0011797063,0.8885187,-0.008172788,0.72122145,0.0021299627,0.77667,0.0,0.8951052
113,-0.0009505839,0.73278135,-0.011811018,0.9985879,-0.0059940424,0.880484,-0.0056501767,0.7578161,-0.009448522,0.88859165,0.020189539,0.72038686,-0.0038628406,0.7800077,0.004149659,0.90716517
114,0.0,0.73300284,-0.0092957625,0.99835277,-0.014000062,0.8739475,-0.008522268,0.7695687,0.0011923658,0.8880438,0.024232361,0.72055125,-0.013959445,0.7823967,-0.0123965265,0.9365753
