Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
78,-0.0028930684,0.67622674,0.0067560347,0.93486154,-0.005881132,0.8132321,0.016253838,0.83105874,0.00015629399,0.8189954,0.0037233252,0.6640607,0.005517362,0.73616177,0.03578982,0.8877442
79,0.0020733227,0.67784345,0.0013429929,0.9310397,0.00076540874,0.8158377,0.0067331134,0.8490355,0.001090466,0.83323455,0.018137379,0.67060715,0.002844933,0.74877995,-0.019308716,0.9120537
80,-0.003102021,0.6728424,-0.017426908,0.942425,-0.0009731791,0.81364036,-0.030099668,0.85478264,-0.00046713473,0.826459,-0.004858838,0.69110703,-0.08753752,0.7504188,-0.02383424,0.9127491
81,0.008297466,0.6729158,0.02182876,0.9334135,0.020396704,0.8186511,-0.001723857,0.8475153,0.0032705984,0.8339487,0.0069162333,0.6974988,0.017987808,0.7126954,0.00530768,0.90769976
82,0.009873536,0.6750353,0.0013347283,0.940726,0.006344756,0.84025615,-0.0017280985,0.842367,0.0065198005,0.83591706,0.0012129522,0.6968677,0.019197049,0.70464134,-0.011615914,0.9086026
83,-0.011203205,0.68240005,-0.007999935,0.94824415,-0.0030514316,0.8542949,-0.07698909,0.84697783,-0.0035469772,0.8458712,-0.0016144115,0.69943035,0.0115576135,0.7223392,0.0021369297,0.91078514
84,-0.0018540423,0.67623794,0.0013436987,0.9481178,-0.0036036514,0.8536196,-0.010309735,0.82258594,-0.007120435,0.8381911,0.0040411204,0.69919336,0.0029623194,0.7280866,0.005330316,0.91012573
85,0.00082480174,0.67283994,-0.026844922,0.95002234,0.01658367,0.83896995,-0.0104159005,0.819872,0.0018713799,0.8315022,0.004429501,0.70767957,0.0059072236,0.73198056,-0.0031810517,0.91565925
86,0.0074239112,0.67328095,0.017930685,0.939797,0.027188446,0.8542206,0.0028710458,0.81703633,0.0040454236,0.82649237,0.0036068389,0.70780504,0.004195011,0.73102003,0.003191203,0.91604435
87,0.013102041,0.6747533,0.0027103538,0.94118536,0.006405266,0.86293936,-0.0009547413,0.80666155,0.0120872995,0.83078945,0.0055902703,0.7108151,0.0027155485,0.7270491,-0.009544123,0.90706265
88,-0.001818453,0.6831945,-0.012162152,0.94458926,-0.00474046,0.8695988,-0.020057771,0.7990157,0.0035214513,0.83883446,0.04249513,0.71205044,0.01666337,0.72487986,-0.002140398,0.9057432
89,0.0058698114,0.68758637,0.00547162,0.9402895,0.004502032,0.85766387,-0.0038980818,0.7825802,0.0035090942,0.84595263,-0.009524154,0.72447336,-0.0010251221,0.7324312,-0.030043887,0.89940345
90,-0.00080430723,0.6854876,-0.012244891,0.9370413,0.013965238,0.8575639,-0.030333234,0.76913404,0.0025854239,0.8455012,-0.00038530718,0.7222973,-0.028712133,0.72734725,-0.012167303,0.88933307
91,0.0042288573,0.6853133,0.008264458,0.93019295,-0.0025628563,0.86548764,-0.003026097,0.7508403,0.0074307746,0.84407645,-0.031934097,0.7239711,0.0156247895,0.7227442,0.016796753,0.8761292
92,0.022061868,0.68417317,0.0013657885,0.9242839,-0.0014772061,0.8641718,0.005060725,0.74303764,-0.0009035396,0.84331614,0.015897129,0.70995265,-0.00041499708,0.7247337,0.012114838,0.8780126
93,-0.0257058,0.69611496,-0.032742087,0.93030685,-0.03357479,0.86543137,-0.07150094,0.7374937,-0.014313129,0.8417874,-0.037949175,0.7201926,-0.022046212,0.73043495,-0.05005457,0.8823333
94,-0.00040247734,0.6878799,0.0014111202,0.92170435,0.015240476,0.85423577,-0.0010852161,0.72216207,0.0012229852,0.8336321,-0.018707318,0.7122282,-0.009784234,0.7276477,0.0068733515,0.8661235
95,0.011081298,0.6857174,0.03239359,0.9186376,0.0034095254,0.8608819,0.0325733,0.71753836,0.0140449405,0.82884926,0.019477736,0.7120477,0.013316575,0.7275687,0.0,0.86365175
96,0.009366943,0.69376165,0.0040927683,0.9344016,0.0060761427,0.864401,0.018927708,0.7171888,0.0030119957,0.84054774,0.005284384,0.7127912,0.013989182,0.73255676,0.010239024,0.86287695
97,-0.006712691,0.7000212,-0.004076086,0.9379063,-0.0012337707,0.86572564,0.006192539,0.7119311,-0.0049542766,0.84304917,0.0060654446,0.71561193,0.0058528064,0.7232497,0.019143695,0.8622459
98,0.00019855541,0.69593364,0.0068216114,0.9378777,-0.002990771,0.8641717,-0.0020510308,0.71289545,0.00286656,0.8437203,-0.0040183,0.71639293,0.011637582,0.740516,0.0,0.8695086
99,0.0055639767,0.7007266,-0.012195115,0.9463149,0.0034560615,0.86382616,0.028775787,0.7145836,0.0093258545,0.84663343,0.008474734,0.71603096,0.0057518943,0.73630255,-0.0033145521,0.8719601
100,0.0013836412,0.6989987,0.002743815,0.9391329,-0.0016894802,0.86144555,-0.005993196,0.71783966,0.0017891055,0.85028195,-0.0036024854,0.7182588,0.011437918,0.74436736,-0.0077605294,0.87048817
101,-0.00217048,0.6999269,-0.010944234,0.93753535,0.00039014005,0.85828835,-0.014071164,0.71924967,-0.0025296516,0.8502652,-0.012449055,0.7127271,0.0046451823,0.74858636,-0.017877137,0.8646929
102,-0.0047470974,0.70144,0.000691395,0.9353214,-0.005921322,0.8602698,-0.0071352473,0.7146844,-0.0043252525,0.85104644,-0.023586448,0.71080667,-0.027136272,0.74894613,-0.013652862,0.8573256
